i
"219 89,219 89,240 27,389 186,411 156,430 129,444 107,456 91,460 84,462 69,466 53,471 38,479 25,489 13,500 1,357 14,509 143,538 168,563 189,585 207,600 212,618 220,636 228,653 236,666 242,675 246,682 249,686 251,688 252,690 253,692 254,693 254,694 254,696 254,698 254,701 254,705 254,709 254,713 254,715 254,717 254,718 254,720 254,721 255,721 255,722 255,723 255,724 255,725 256,729 259,733 263,737 268,742 272,746 276,750 280,753 282,754 284,756 286,757 286,758 287,759 288,760 289,761 289,762 290,764 292,767 294,769 296,771 298,773 300,775 301,776 302,777 304,777 304,777 304,778 305,778 305,778 305,776 305,764 303,748 299,729 295,709 290,690 287,675 285,658 283,646 283,634 283,625 283,618 283,612 284,607 284,604 285,602 285,601 285,600 286,600 286,543 235,444 158,444 158,446 158,449 159,452 159,457 160,463 161,473 162,484 164,497 167,513 170,532 174,550 179,566 184,580 188,591 193,602 196,611 199,621 202,629 204,636 206,641 208,644 210,645 210,647 211,647 211,647 211,644 211,638 210,629 207,619 203,608 199,597 193,586 189,573 184,560 179,547 175,533 172,520 168,508 166,496 162,485 160,474 158,464 156,455 154,448 153,442 153,437 152,434 151,432 151,438 150"
"443 150,451 150,458 150,467 150,475 150,483 149,492 149,502 148,510 147,518 147,525 146,530 146,534 147,536 147,538 148,539 148,542 148,543 149,546 149,549 150,553 151,556 152,559 152,561 153,563 154,564 154,565 154,567 154,567 154,569 154,570 154,571 154,572 154,573 154,574 154,574 154,575 154,576 154,576 154,577 154,577 154,578 154,578 154,579 155,589 157,613 161,649 167,693 175,736 184,779 195,821 209,858 224,844 169,803 133,769 102,728 71,686 43,655 24,631 10,378 367,377 362,376 357,376 351,376 343,376 336,376 329,376 324,376 321,376 317,376 315,376 311,377 305,378 297,379 285,381 271,383 257,384 246,385 238,385 232,386 227,387 221,388 215,389 209,392 201,395 192,398 183,401 176,403 170,404 167,405 164,406 162,406 162,406 161,406 161,406 161,406 160,408 159,410 159,413 157,417 156,419 156,422 155,424 155,421 162,418 171,415 180,412 189,410 197,407 205,406 211,404 217,402 222,400 227,399 231,397 233,394 237,391 240,385 244,378 247,371 249,364 250,358 250,353 250,349 249,346 248,345 248,344 248,343 248,342 248,341 247,341 247,345 247"
"356 247,373 246,394 245,418 246,440 248,461 250,481 252,496 255,508 257,518 259,524 259,528 260,531 260,532 260,533 260,534 260,532 259,530 259,528 259,527 259,524 258,523 258,522 258,522 258,521 257,520 257,520 257,516 255"
"508 251,498 245,487 239,476 234,467 229,457 223,448 217,437 210,426 199,413 187,402 175,392 163,383 153,376 146,370 140,365 134,362 131,361 129,359 128,358 126,345 124,332 121,317 118,303 115,290 112,279 110,268 108,258 106,250 105,242 104,236 103,231 102,228 101,225 101,221 100,218 100,214 99,209 99,203 100,198 101,192 101,187 102,183 103,181 103,178 104,177 104,176 104,174 105,172 107,168 111,163 118,158 124,154 130,150 135,147 138,144 141,142 142,140 144,139 145,137 146,136 147,135 148,134 148,134 148,133 149,133 149,132 149,132 149,132 150,132 150,132 150,136 151,148 151,165 150,186 150,209 149,233 150,257 151,282 153,304 155,324 157,338 159,348 160,354 161,357 162,359 162,359 162,355 162"
"343 163,325 164,306 165,285 166,265 168,247 169,231 170,217 171,204 173,192 174,181 176,173 177,165 178,160 178,155 179,152 179,149 179,146 179,144 179,141 179,139 179,138 179,137 179,136 179,135 178,135 178,135 180,136 184,138 188,140 192,142 195,143 198,144 199,145 200,145 201,146 201,146 202,146 202,147 203,149 203,155 203,166 203,185 202,207 202,232 203,259 203,284 204,304 205,321 206,334 207,343 208,349 208,353 208,355 208,355 208"
"351 209,341 209,326 211,309 213,293 215,276 216,261 218,248 219,236 220,226 221,216 222,207 222,200 223,193 223,187 223,182 224,177 224,172 224,168 224,166 224,164 224,163 224,162 224,161 224,161 224,161 224,160 224,159 226,160 234,163 242,165 248,168 253,170 257,171 260,171 262,172 263,172 263,172 263,174 263,178 262,188 259,203 255,222 251,244 248,266 247,287 248,307 249,323 250,337 250,348 251,359 251,367 251,373 250,379 249,383 249,386 248,389 247,390 247,391 246,392 246,392 246,393 246,393 246"
"394 246,396 247,400 250,406 253,410 257,414 260,417 263,420 265,422 266,424 268,427 270,433 274,442 280,454 288,463 294,471 300,476 304,480 307,483 309,484 310,485 311,501 307,526 301,560 297,601 297,649 303,694 310,737 320,755 327,771 336,785 343,797 350,805 354,809 356,813 357,814 358,797 350,754 323,620 227,375 42,349 422,349 422,347 421,347 421,346 421,346 421,346 421,345 422,345 422,347 425,352 429,359 433,367 437,372 440,377 442,380 444,382 445,384 446,385 446,386 446,391 437,397 429,405 420,416 411,430 400,444 391,459 383,473 376,487 371,501 367,511 364,519 362,526 360,522 358"
"509 352,479 335,438 305,389 266,341 227,302 191,276 165,256 143,241 126,231 114,215 103,194 87,168 65,139 42,111 18,302 477,302 477,312 474,321 471,330 468,339 465,345 462,351 460,356 458,361 456,365 454,368 453,370 452,371 452,372 451,373 451,373 451,373 450,373 450,374 450,374 449,374 449,375 449,377 448,379 448,382 447,386 447,390 447,394 447,399 446,402 446,406 445,408 445,411 445,411 445,413 444,413 444,414 444,414 444,415 443,415 443,415 443,415 442,416 442,416 442,416 441"
"219 89,219 89,240 27,389 186,411 156,430 129,444 107,456 91,460 84,462 69,466 53,471 38,479 25,489 13,500 1,357 14,509 143,538 168,563 189,585 207,600 212,618 220,636 228,653 236,666 242,675 246,682 249,686 251,688 252,690 253,692 254,693 254,694 254,696 254,698 254,701 254,705 254,709 254,713 254,715 254,717 254,718 254,720 254,721 255,721 255,722 255,723 255,724 255,725 256,729 259,733 263,737 268,742 272,746 276,750 280,753 282,754 284,756 286,757 286,758 287,759 288,760 289,761 289,762 290,764 292,767 294,769 296,771 298,773 300,775 301,776 302,777 304,777 304,777 304,778 305,778 305,778 305,776 305,764 303,748 299,729 295,709 290,690 287,675 285,658 283,646 283,634 283,625 283,618 283,612 284,607 284,604 285,602 285,601 285,600 286,600 286,543 235,444 158,444 158,446 158,449 159,452 159,457 160,463 161,473 162,484 164,497 167,513 170,532 174,550 179,566 184,580 188,591 193,602 196,611 199,621 202,629 204,636 206,641 208,644 210,645 210,647 211,647 211,647 211,644 211,638 210,629 207,619 203,608 199,597 193,586 189,573 184,560 179,547 175,533 172,520 168,508 166,496 162,485 160,474 158,464 156,455 154,448 153,442 153,437 152,434 151,432 151,438 150"
"443 150,451 150,458 150,467 150,475 150,483 149,492 149,502 148,510 147,518 147,525 146,530 146,534 147,536 147,538 148,539 148,542 148,543 149,546 149,549 150,553 151,556 152,559 152,561 153,563 154,564 154,565 154,567 154,567 154,569 154,570 154,571 154,572 154,573 154,574 154,574 154,575 154,576 154,576 154,577 154,577 154,578 154,578 154,579 155,589 157,613 161,649 167,693 175,736 184,779 195,821 209,858 224,844 169,803 133,769 102,728 71,686 43,655 24,631 10,378 367,377 362,376 357,376 351,376 343,376 336,376 329,376 324,376 321,376 317,376 315,376 311,377 305,378 297,379 285,381 271,383 257,384 246,385 238,385 232,386 227,387 221,388 215,389 209,392 201,395 192,398 183,401 176,403 170,404 167,405 164,406 162,406 162,406 161,406 161,406 161,406 160,408 159,410 159,413 157,417 156,419 156,422 155,424 155,421 162,418 171,415 180,412 189,410 197,407 205,406 211,404 217,402 222,400 227,399 231,397 233,394 237,391 240,385 244,378 247,371 249,364 250,358 250,353 250,349 249,346 248,345 248,344 248,343 248,342 248,341 247,341 247,345 247"
